route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
27781,,38,BUSWAY MAX: FLA CITY TO DADELAND SO,,3,,804040,FFFFFF
27782,,39,EXPRESS: S.DADE GVT CTR-DADELAND SO,,3,,000000,FFFFFF
27783,,40,BIRD RD/152 AVE TO DOUGLAS RD STA,,3,,FF00FF,FFFFFF
27784,,42,DGLS RD-OPALOCKA TRI-RAIL,,3,,FF0000,FFFFFF
27785,,46,LIBERTY CITY CONNECTION,,3,,800080,FFFFFF
27786,,51,FLAGLER MAX: WEST DADE TO DOWNTOWN,,3,,008000,FFFFFF
27787,,52,GOULDS TO DADELAND SOUTH STATION,,3,,800000,FFFFFF
27788,,54,HIALEAH GRDNS-BISC BLVD VIA 54 ST,,3,,FF0000,FFFFFF
27789,,56,CHILDREN HOSP TO 162 AVE VIA 56 ST,,3,,004000,FFFFFF
27790,,57,MIA STATION TO SW 152 ST VIA 57 AVE,,3,,808000,FFFFFF
28090,,62,HIALEAH-BISC BLVD VIA 62 ST,,3,,FF8040,FFFFFF
27792,,71,DOLPHIN MALL-MDC KEND.VIA 107/112AV,,3,,800080,FFFFFF
27793,,72,SO.MIAMI-BENT TREE/162AV VIA 72 ST,,3,,808000,FFFFFF
27794,,73,NW DADE-DADELAND SO. VIA 67/72 AVE,,3,,00FFFF,FFFFFF
27795,,75,MIAMI LAKES-163ST MALL-FIU BISC BAY,,3,,808000,FFFFFF
27796,,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,,3,,000080,FFFFFF
27797,,79,79_ST MAX: MIA BCH-NORTHSIDE,,3,,008000,FFFFFF
27798,,82,WESTCHESTER CIRCULATOR,,3,,FF00FF,FFFFFF
27799,,87,PALMETTO/DORAL-DADELAND VIA 87 AV,,3,,008080,FFFFFF
27800,,88,162 AVE TO DADELAND NORTH VIA 88 ST,,3,,000000,FFFFFF
27801,,93,BISCAYNE MAX: DOWNTOWN-AVENTURA,,3,,FF8000,FFFFFF
27802,,95,I-95 GOLDEN GLADES EXPRESS,,3,,FF0000,FFFFFF
27803,,99,NW DADE-AVENTURA MALL,,3,,00FF00,FFFFFF
27804,,101,A-VIA VENETIAN CAUSEWAY,,3,,0000FF,FFFFFF
27807,,104,HAMMOCKS-MDC-DADELAND NO.VIA 104 ST,,3,,FF0000,FFFFFF
27808,,105,E-GOLDEN GLDS.-AVENTURA/HALLANDALE,,3,,0000FF,FFFFFF
27809,,107,G-MDC NORTH - BEACH/96 ST,,3,,FF00FF,FFFFFF
27810,,108,H-163 ST MALL - HAULOVER,,3,,00FFFF,FFFFFF
27811,,110,J-MIAMI BCH-MIA STAT  VIA 36 ST,,3,,00FF00,FFFFFF
27812,,112,L-HIALEAH-MIA BCH/LINC RD VIA 79 ST,,3,,008000,FFFFFF
27813,,113,M-CIVIC CENTER-MIAMI BEACH,,3,,808000,FFFFFF
27814,,115,MID-NORTH-BEACH CONNECTION,,3,,FF00FF,FFFFFF
27815,,119,S-AVENTURA-DOWNTOWN VIA COLLINS AVE,,3,,800080,FFFFFF
27816,,120,BEACH MAX: DOWNTOWN-AVENTURA MALL,,3,,008080,FFFFFF
27817,,132,HIA.TRI-RAIL STA-DORAL VIA 36ST,,3,,FF00FF,FFFFFF
27818,,135,135_STREET CROSSTOWN,,3,,FF8000,FFFFFF
27819,,136,DOUGLAS RD-OLD CUTLER-SW 136 ST,,3,,808000,FFFFFF
27820,,137,WEST DADE CONNECTION,,3,,804000,FFFFFF
27821,,150,MIAMI BEACH AIRPORT FLYER,,3,,FF00FF,FFFFFF
27822,,155,BISCAYNE GARDENS CIRCULATOR,,3,,0080FF,FFFFFF
27824,,183,NW 73 AV/186 ST - AVENTURA,,3,,000080,FFFFFF
27827,,200,CUTLER BAY LOCAL,,3,,FF8040,FFFFFF
27828,,202,LITTLE HAITI CONNECTION,,3,,FF00FF,FFFFFF
27829,,204,KILLIAN KAT,,3,,FF0000,FFFFFF
27830,,207,LITTLE HAVANA CONNECTION,,3,,800080,FFFFFF
27831,,208,LITTLE HAVANA CONNECTION,,3,,000080,FFFFFF
27832,,210,SKYLAKE CIRCULATOR,,3,,00FFFF,FFFFFF
27833,,211,OVERTOWN CIRCULATOR,,3,,FF00FF,FFFFFF
27834,,212,SWEETWATER CIRCULATOR,,3,,800000,FFFFFF
27835,,217,BUNCHE PARK CIRCULATOR,,3,,FF00FF,FFFFFF
27836,,238,EAST-WEST CONNECTION,,3,,FF0000,FFFFFF
28082,,RAIL,REGULAR METRORAIL SERVICE,,2,,FF8040,
27837,,241,TUTTLE LIMITED,,3,,800080,FFFFFF
27838,,246,NIGHT OWL,,3,,008080,FFFFFF
27839,,248,PRINCETON CIRCULATOR,,3,,FF8040,FFFFFF
27840,,252,CORAL REEF MAX,,3,,00FF00,FFFFFF
27841,,254,BROWNSVILLE CIRCULATOR,,3,,0000FF,FFFFFF
27842,,267,LUDLAM LIMITED,,3,,008000,FFFFFF
27843,,272,SUNSET KAT,,3,,0000FF,FFFFFF
27844,,277,7 AVE MAX,,3,,000000,FFFFFF
27845,,286,NORTH POINTE CIRCULATOR,,3,,800080,FFFFFF
27846,,287,SAGA BAY MAX,,3,,FF00FF,FFFFFF
27847,,288,KENDALL CRUISER,,3,,00FFFF,FFFFFF
27850,,297,27 AVE ORANGE MAX,,3,,A0A0A4,FFFFFF
27851,,301,DADE/MONROE EXPRESS,,3,,804000,FFFFFF
27852,,302,CARD SOUND EXPRESS,,3,,008000,FFFFFF
27853,,338,WEEKEND EXPRESS,,3,,008000,FFFFFF
27854,,344,MDC HOMESTEAD TO FLA CITY,,3,,FF8000,FFFFFF
27855,,500,MIDNIGHT OWL,,3,,FF0000,FFFFFF
27856,,836,836 EXPRESS,,3,,800080,FFFFFF
27857,,837,837 EXPRESS,,3,,800080,FFFFFF
14458,,MIA,AIRPORT PEOPLE MOVER,,0,,008080,FFFFFF
14457,,MMI,METROMOVER INNER LOOP,,0,,FF8000,FFFFFF
14456,,MMO,METROMOVER OMNI/BRICKELL OUTER LOOP,,0,,008000,FFFFFF
17796,,BALHVL,Bal Harbour Village Shuttle,,3,,FF0000,FFFFFF
18108,,BYHBIS,Bay Harbor Islands Shuttle,,3,,008080,FFFFFF
17789,,CGABLE,City of Coral Gables Trolley,,3,,008080,FFFFFF
16895,,DLOOP1,City of Doral Trolley (Rt. 1),,3,,FF0000,FFFFFF
16896,,DLOOP2,City of Doral Trolley (Rt. 2),,3,,008080,FFFFFF
16897,,DLOOP3,City of Doral Trolley (Rt. 3),,3,,008000,FFFFFF
16902,,HIAFLA,City of Hialeah Transit (Flamingo),,3,,FF80C0,FFFFFF
16903,,HIAMAR,City of Hialeah Transit (Marlin),,3,,0080C0,FFFFFF
17786,,MGDBLU,City of Miami Gardens Blue,,3,,004080,FFFFFF
17787,,MGDORG,City of Miami Gardens Orange,,3,,FF8040,FFFFFF
16889,,MIAALP,City of Miami Trolley (Allapattah),,3,,FF8000,FFFFFF
16885,,MIABIS,City of Miami Trolley (Biscayne),,3,,000080,FFFFFF
16886,,MIABRK,City of Miami Trolley (Brickell),,3,,008000,FFFFFF
16887,,MIACOR,City of Miami Trolley (Coral Way),,3,,FF0000,FFFFFF
16891,,MIAHLT,City of Miami Trolley (Health Dist),,3,,0080FF,FFFFFF
16890,,MIAOVT,City of Miami Trolley (Overtown),,3,,8080FF,FFFFFF
18110,,MIASPG,City of Miami Springs Free-Bee,,3,,FF0000,FFFFFF
16892,,MIASTA,City of Miami Trolley (Stadium),,3,,3E41C1,FFFFFF
17797,,MSHEST,Miami Shores Village East,,3,,008080,FFFFFF
18115,,NBAYVL,City of North Bay Village Mini Bus,,3,,008080,FFFFFF
18112,,NMBLIN,City of North Miami Beach B-Line,,3,,FF0000,FFFFFF
17792,,NOMORG,City of North Miami Orange,,3,,FF8040,FFFFFF
17784,,PALBYA,Village of Palmetto Bay A,,3,,FF8040,FFFFFF
18109,,SURSID,Town of Sufside Shuttle,,3,,FF8000,FFFFFF
18111,,WESMIA,City of West Miami Shuttle,,3,,0000FF,FFFFFF
18786,,MB-COL,City of Miami Bch Trolley - Collins,,3,,008080,FFFFFF
18787,,MB-MID,City of Miami Bch Trolley - MidBeac,,3,,008080,FFFFFF
16894,,MB-NBL,City of Miami Bch Trolley- N Beach,,3,,00FF00,FFFFFF
19935,,MB-SBL,City of Miami Bch Trolley - SoBeach,,3,,FF0000,FFFFFF
20408,,PALPNR,Village of Palmetto Bay Park & Ride,,3,,FF0000,FFFFFF
